name,resourceGroup,type,subscriptionId,created_at
aks-work-32123589-vmss,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.compute/virtualmachinescalesets,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
aks-default-35385105-vmss,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.compute/virtualmachinescalesets,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
aks-lz-prod-ae,rg-lz-prod-ae-aks,microsoft.containerservice/managedclusters,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
omsagent-aks-lz-prod-ae,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.managedidentity/userassignedidentities,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
aks-lz-prod-ae-agentpool,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.managedidentity/userassignedidentities,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
azurepolicy-aks-lz-prod-ae,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.managedidentity/userassignedidentities,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
azurekeyvaultsecretsprovider-aks-lz-prod-ae,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.managedidentity/userassignedidentities,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
kubernetes,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.network/loadbalancers,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
aks-agentpool-23136252-nsg,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.network/networksecuritygroups,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
vnet-lz-prod-ae-nsg,rg-lz-prod-ae-network,microsoft.network/networksecuritygroups,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
NetworkWatcher_australiaeast,networkwatcherrg,microsoft.network/networkwatchers,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
a88b6556-e65f-4e77-b918-32f274f99fb3,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.network/publicipaddresses,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
kubernetes-aab5d2a2e075e4cc1bd6e7b26b4e851c,mc_rg-lz-prod-ae-aks_aks-lz-prod-ae_australiaeast,microsoft.network/publicipaddresses,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
vnet-lz-prod-ae,rg-lz-prod-ae-network,microsoft.network/virtualnetworks,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
law-lz-prod-ae,rg-lz-prod-ae-monitoring,microsoft.operationalinsights/workspaces,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
ContainerInsights(law-lz-prod-ae),rg-lz-prod-ae-monitoring,microsoft.operationsmanagement/solutions,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
tfstate1769560449,rg-terraform-mgmt,microsoft.storage/storageaccounts,5698b26e-3f9c-4f63-bdb3-4777a40d57d5,
